		EDIT 2			
Category	Round	Mat A		Wrestler 1	Wrestler 2
Snr 65kg	R1	A	1	Jamil Vacca (GLAD)	Thomas Leaver (SUBI)
Snr 65kg	R1	A	2	Stephen Erceg (GLAD)	Dyota Tanuwibawa (SUBI)
Snr 65kg	R1	A	3	Scott Miotto (AWT)	Taaniel Piiskoppel (AWT)
Snr 74kg	R1	A	4	Shaun Johnston (GLAD)	Abdalla Biayda (PUNISH)
Snr 74kg	R1	A	5	Oliver Hickey (SUBI)	SCRATCH
Snr 74kg	R1	A	6	Shantaram Maharaj (PUNISH)	Petrus Palm (WAR)
Snr 79kg	R1	A	7	Ravi Schreefel (GLAD)	Nima Behrouz (GLAD)
Snr 86kg	R1	A	8	Leo Tesanovic (AWT)	Kyle Skiba (PUNISH)
GR Snr 67kg	R1	A	9	Scott Miotto (AWT)	Taaniel Piiskoppel (AWT)
Snr 86kg	R1	A	1	Kyle Skiba (PUNISH)	Nicholas Freitas (AWT)
GR Snr 77kg	R1	A	11	Ando Lehtmets (AWT)	anthony drilich (NEXT GEN)
Snr 65kg	R2	A	12	loser 3	loser 4
Snr 65kg	R2	A	13	Jye Miller (FREO)	Winner #2
Snr 65kg	R2	A	14	Winner 3	Winner 4
Snr 74kg	R2	A	15	SCRATCH	Loser 4
Snr 74kg	R2	A	16	Taylor Pickering (GLAD)	Winner 2
Snr 74kg	R2	A	17	Oliver Hickey (SUBI)	Winner 4
Snr 79kg	R2	A	18	Alireza Rezvani (GLAD)	Winner 2
Snr 79kg	R2	A	19	ray holtham (EVOL)	Theodore Murphy-Jelley (GLAD)
Snr 86kg	R2	A	20	Kyle Skiba (PUNISH)	Nicholas Freitas (AWT)
Snr 86kg	R2	A	21	Winner 1	Winner 2
Snr 65kg	R3	A	22	Loser 2	Loser 8
Snr 65kg	R3	A	23	Winner 6	Loser 7
		EDIT 2			
Category	Round	Mat A		Wrestler 1	Wrestler 2
Snr 74kg	R3	A	24	Loser 2	Loser 8
Snr 74kg	R3	A	25	Winner 6	Loser 7
Snr 79kg	R3	A	26	Loser 2	Loser 8
Snr 86kg	R3	A	27	Leo Tesanovic (AWT)	Nicholas Freitas (AWT)
FS Snr	SP	A	28	Yusuf Loder (AWT)	Tom Barns (GLAD)
Snr 65kg	R4	A	29	Winner 9	Winner 10
Snr 65kg	R4	A	30	Winner 7	Winner 8
Snr 74kg	R4	A	31	Winner 9	Winner 10
Snr 74kg	R4	A	32	Winner 7	Winner 8
Snr 79kg	R4	A	33	Winner 9	Loser 7
Snr 79kg	R4	A	34	Winner 7	Winner 8
GR Snr	SPGR	A	35	Leo Tesanovic (AWT)	Ando Lehtmets (AWT)
14-15 y/o SP	SPFS	A	36	Muhummed Loder (AWT)	?
Jnr SP	SP	A	37	Ian Cook (PUN)	Elim 65kg
Snr FS	SP	A	38	Jacob Cole (SUBI)	Nicholas Freitas (AWT)
Snr 65kg	R5	A	39	Winner 11	Loser 12
Snr 74kg	R5	A	40	Winner 11	Loser 12
Snr 79kg	R4	A	41	Winner #11	Loser #12
Snr FS	SP	A	42	Jesse Armstrong (EVOL)	Leo Tesanovic (AWT)
Snr GR	SPGR	A	44	Ando Lehtmets (AWT)	Taaniel Piiskoppel (AWT)
		A	45	Ian Cook (PUN)	Elim 65kg
Snr FS		A	46	Jesse Armstrong (EVOL)	Kyle Skiba (PUNISH)
Snr GR	SPGR	A	47	Leo Tesanovic (AWT)	anthony drilich (NEXT GEN)
Snr FS	SP	A	48	Jacob Cole (SUBI)	Oskar Paino-Povey (WAR)
